fighter_id,name,win,lose,draw,nc,height,weight,reach,stance,dob,SLpM,Str_Acc,SApM,Str_Def,TD_Avg,TD_Acc,TD_Def,Sub_Avg,last_updated,win%
34,Joe Proctor,11,5,0,0,177.8,155 lbs.,182.88,1,"Aug 10, 1985",3.39,36,3.93,59,0.0,0,70,1.8,2018-11-21 19:37:06.186839,68.75
37,Niko Price,12,2,0,1,182.88,170 lbs.,193.04,1,"Sep 29, 1989",2.5,29,4.04,56,1.44,28,75,1.8,2018-11-21 19:37:17.204422,85.71428571428571
41,Michel Prazeres,26,2,0,0,167.64,170 lbs.,170.18,1,"Jul 25, 1981",2.59,47,2.32,60,4.22,38,47,0.7,2018-11-21 19:37:33.625521,92.85714285714286
42,Carlo Prater,30,12,1,0,180.34,155 lbs.,182.88,0,"Jun 25, 1981",2.03,47,4.07,35,0.43,9,57,1.7,2018-11-21 19:37:36.832949,69.76744186046511
43,Trevor Prangley,23,8,1,0,185.42,185 lbs.,190.5,1,"Aug 24, 1972",2.59,60,2.02,48,3.38,55,74,1.0,2018-11-21 19:37:41.588243,71.875
44,Wagner Prado,8,2,0,1,182.88,205 lbs.,187.96,0,"Dec 30, 1986",1.72,40,3.06,50,0.0,0,22,0.0,2018-11-21 19:37:42.861261,80.0
45,Marcin Prachnio,13,4,0,0,190.5,205 lbs.,187.96,1,"Jul 14, 1988",2.39,39,2.92,52,0.0,0,0,0.0,2018-11-21 19:37:46.609436,76.47058823529412
46,Devin Powell,9,4,0,0,182.88,155 lbs.,185.42,1,"Mar 01, 1988",2.88,41,3.67,51,0.0,0,0,0.6,2018-11-21 19:37:51.057549,69.23076923076923
47,Ruan Potts,8,4,0,0,187.96,247 lbs.,190.5,1,"Feb 23, 1978",0.85,37,5.92,22,0.75,16,33,2.3,2018-11-21 19:37:54.688247,66.66666666666666
50,Santiago Ponzinibbio,28,3,0,0,182.88,170 lbs.,185.42,1,"Sep 26, 1986",4.27,39,4.02,64,0.54,44,60,0.0,2018-11-21 19:38:07.250064,90.32258064516128
54,Igor Pokrajac,28,13,0,1,182.88,205 lbs.,193.04,1,"Jan 02, 1979",2.25,45,4.26,40,0.87,29,51,0.2,2018-11-21 19:38:22.190684,68.29268292682927
55,Dustin Poirier,24,5,0,1,175.26,155 lbs.,182.88,0,"Jan 19, 1989",5.59,49,3.69,56,1.75,41,69,1.3,2018-11-21 19:38:26.087697,82.75862068965517
58,Maki Pitolo,10,4,0,0,177.8,185 lbs.,182.88,1,"Nov 24, 1990",0.0,0,0.0,0,0.0,0,0,0.0,2018-11-21 19:38:37.816105,71.42857142857143
59,Liu Pingyuan,12,5,0,0,167.64,135 lbs.,182.88,1,"Feb 13, 1993",2.13,41,1.6,51,1.0,100,62,2.0,2018-11-21 19:38:42.215116,70.58823529411765
61,Daniel Pineda,18,11,0,0,170.18,145 lbs.,175.26,1,"Aug 06, 1985",2.99,43,2.51,47,1.46,25,48,2.0,2018-11-21 19:38:50.827073,62.06896551724138
62,Dom Pilarte,8,1,0,0,182.88,135 lbs.,187.96,0,"Jan 05, 1990",4.95,50,7.86,41,2.18,50,0,2.2,2018-11-21 19:38:54.232879,88.88888888888889
63,Sean Pierson,14,6,0,0,182.88,170 lbs.,193.04,0,"Mar 10, 1976",3.84,39,3.73,64,0.39,18,66,0.4,2018-11-21 19:38:58.73772,70.0
65,Mike Pierce,17,7,0,0,172.72,170 lbs.,177.8,1,"Sep 01, 1980",2.62,42,2.36,62,3.08,42,71,0.2,2018-11-21 19:39:05.879528,70.83333333333334
67,Oskar Piechota,11,1,1,0,182.88,185 lbs.,193.04,0,"Jan 24, 1990",3.58,57,2.83,58,1.12,50,25,2.8,2018-11-21 19:39:11.967712,84.61538461538461
68,Jamie Pickett,7,2,0,0,187.96,185 lbs.,203.2,0,"Aug 29, 1988",1.02,41,2.64,45,6.1,40,0,0.0,2018-11-21 19:39:15.247964,77.77777777777779
69,Brad Pickett,26,14,0,0,167.64,135 lbs.,172.72,1,"Sep 24, 1978",3.02,31,4.63,55,2.47,44,58,0.4,2018-11-21 19:39:19.051698,65.0
70,Vinc Pichel,11,2,0,0,177.8,155 lbs.,182.88,1,"Nov 23, 1982",3.12,42,2.67,54,4.25,62,20,0.2,2018-11-21 19:39:22.520833,84.61538461538461
74,John Phillips,21,7,0,1,180.34,185 lbs.,190.5,0,"Jun 09, 1985",0.0,0,2.77,21,0.0,0,0,0.0,2018-11-21 19:39:34.829933,75.0
75,Elizabeth Phillips,5,4,0,0,167.64,135 lbs.,165.1,1,"Aug 20, 1986",2.6,33,3.07,58,0.75,25,53,0.2,2018-11-21 19:39:37.839062,55.55555555555556
76,Aaron Phillips,8,2,0,0,175.26,135 lbs.,177.8,0,"Aug 05, 1989",1.87,59,3.33,40,0.0,0,35,0.5,2018-11-21 19:39:41.620503,80.0
79,Costas Philippou,13,5,0,1,180.34,185 lbs.,185.42,1,"Nov 29, 1979",2.19,35,2.73,54,0.4,42,65,0.3,2018-11-21 19:39:51.241252,72.22222222222221
80,Nam Phan,18,14,0,0,167.64,135 lbs.,177.8,1,"Mar 13, 1983",4.52,37,6.55,59,0.18,18,60,0.2,2018-11-21 19:39:55.460846,56.25
81,Cody Pfister,12,6,1,0,177.8,155 lbs.,185.42,1,"Jul 12, 1990",1.41,25,2.8,51,2.82,30,0,0.0,2018-11-21 19:39:59.440325,63.1578947368421
83,Forrest Petz,24,9,0,0,175.26,170 lbs.,180.34,1,"Sep 22, 1975",2.27,29,2.2,57,1.3,100,66,0.0,2018-11-21 19:40:08.290874,72.72727272727273
84,Sergio Pettis,17,4,0,0,167.64,125 lbs.,175.26,1,"Aug 18, 1993",3.6,37,2.56,65,0.91,39,68,0.4,2018-11-21 19:40:11.850743,80.95238095238095
85,Anthony Pettis,21,8,0,0,177.8,155 lbs.,182.88,1,"Jan 27, 1987",2.85,45,3.16,54,0.76,54,58,1.3,2018-11-21 19:40:15.918693,72.41379310344827
86,Peter Petties,5,3,0,1,180.34,145 lbs.,182.88,0,"Dec 20, 1990",2.61,29,8.24,48,0.0,0,0,0.0,2018-11-21 19:40:18.519689,62.5
87,Seth Petruzelli,14,6,0,0,182.88,205 lbs.,193.04,1,"Dec 03, 1979",2.17,41,2.08,55,0.46,50,47,2.3,2018-11-21 19:40:21.118055,70.0
88,Steven Peterson,17,6,0,0,177.8,145 lbs.,177.8,1,"May 29, 1990",5.09,34,5.51,57,1.67,17,100,0.3,2018-11-21 19:40:25.296838,73.91304347826086
93,Viktor Pesta,10,4,0,0,190.5,240 lbs.,195.58,1,"Jul 15, 1990",1.58,36,2.54,56,3.29,28,100,0.0,2018-11-21 19:40:41.918252,71.42857142857143
94,Mike Perry,12,4,0,0,177.8,170 lbs.,180.34,1,"Sep 15, 1991",4.02,45,4.44,57,0.83,55,68,0.0,2018-11-21 19:40:45.931923,75.0
95,Hernani Perpetuo,17,5,0,1,182.88,170 lbs.,187.96,1,"May 24, 1985",2.73,29,4.37,55,0.0,0,37,0.5,2018-11-21 19:40:48.215591,77.27272727272727
96,Thiago Perpetuo,9,4,1,0,177.8,170 lbs.,180.34,1,"Dec 14, 1987",5.39,69,3.51,51,2.82,50,66,0.0,2018-11-21 19:40:52.386293,64.28571428571429
97,Anthony Perosh,15,10,0,0,190.5,205 lbs.,190.5,1,"Oct 05, 1972",2.27,43,3.77,53,2.03,22,33,1.1,2018-11-21 19:40:56.708769,60.0
98,Markus Perez,10,2,0,0,185.42,185 lbs.,185.42,1,"Jun 22, 1988",2.55,47,4.5,49,1.31,42,81,1.3,2018-11-21 19:41:00.360395,83.33333333333334
99,Alex Perez,21,4,0,0,167.64,125 lbs.,165.1,1,"Mar 21, 1992",5.25,46,3.08,61,3.68,43,100,2.1,2018-11-21 19:41:04.68547,84.0
101,Frankie Perez,10,4,0,0,180.34,155 lbs.,185.42,1,"May 11, 1989",1.64,41,2.17,54,1.75,41,50,0.3,2018-11-21 19:41:10.423191,71.42857142857143
102,Alejandro Perez,22,6,1,0,167.64,135 lbs.,170.18,1,"Sep 02, 1989",3.71,35,2.88,65,0.46,16,63,0.1,2018-11-21 19:41:14.388879,75.86206896551724
103,Erik Perez,17,6,0,0,172.72,135 lbs.,172.72,1,"Nov 19, 1989",3.16,40,2.09,66,3.16,55,69,0.2,2018-11-21 19:41:18.255828,73.91304347826086
106,Viviane Pereira,13,2,0,0,154.94,115 lbs.,160.02,1,"Aug 28, 1993",2.7,30,4.48,58,0.25,100,28,0.2,2018-11-21 19:41:31.037251,86.66666666666667
107,Robert Peralta,18,6,0,1,172.72,145 lbs.,180.34,1,"Mar 14, 1986",3.76,44,2.97,53,0.59,66,65,0.0,2018-11-21 19:41:34.750624,75.0
109,Godofredo Pepey,14,6,0,0,170.18,145 lbs.,185.42,1,"Jul 02, 1987",2.32,38,3.23,47,0.37,7,35,1.5,2018-11-21 19:41:41.945621,70.0
111,Raquel Pennington,9,8,0,0,170.18,135 lbs.,170.18,1,"Sep 05, 1988",3.42,47,3.31,62,1.16,28,64,0.9,2018-11-21 19:41:49.413516,52.94117647058824
113,Nick Penner,12,3,0,0,193.04,205 lbs.,195.58,0,"Mar 26, 1980",1.25,30,4.6,38,0.0,0,40,0.0,2018-11-21 19:41:55.366323,80.0
114,Jessica Penne,12,6,0,0,165.1,115 lbs.,170.18,0,"Jan 30, 1983",2.46,33,4.73,48,1.58,25,20,0.6,2018-11-21 19:41:59.120398,66.66666666666666
115,BJ Penn,16,12,2,0,175.26,145 lbs.,177.8,1,"Dec 13, 1978",2.71,49,3.12,56,1.24,55,75,0.5,2018-11-21 19:42:04.043102,53.333333333333336
116,Cathal Pendred,17,5,1,0,185.42,170 lbs.,190.5,1,"Sep 02, 1987",2.49,44,3.01,55,2.46,23,83,0.4,2018-11-21 19:42:07.305733,73.91304347826086
119,Luis Pena,5,1,0,0,190.5,155 lbs.,193.04,0,"Jul 05, 1993",1.67,28,3.13,46,1.62,20,40,0.8,2018-11-21 19:42:14.964136,83.33333333333334
120,Julianna Pena,9,3,0,0,167.64,135 lbs.,175.26,0,"Aug 19, 1989",2.95,52,1.2,44,2.79,52,22,1.2,2018-11-21 19:42:18.772891,75.0
122,Kurt Pellegrino,16,6,0,0,172.72,155 lbs.,177.8,1,"May 07, 1979",2.45,43,1.94,63,2.9,54,69,0.8,2018-11-21 19:42:26.02271,72.72727272727273
123,Filip Pejic,10,2,1,0,172.72,135 lbs.,177.8,1,"Jul 21, 1992",0.0,0,0.88,33,0.0,0,0,0.0,2018-11-21 19:42:28.445901,76.92307692307693
125,Tyson Pedro,7,2,0,0,190.5,205 lbs.,200.66,1,"Sep 17, 1991",2.63,60,2.46,48,1.0,28,57,1.5,2018-11-21 19:42:35.84762,77.77777777777779
127,Carlo Pedersoli,11,2,0,0,180.34,170 lbs.,190.5,0,"Jun 08, 1993",4.41,37,4.15,60,2.88,75,0,0.0,2018-11-21 19:42:43.438286,84.61538461538461
129,Ross Pearson,22,15,0,1,172.72,155 lbs.,175.26,1,"Sep 26, 1984",3.67,40,4.04,62,0.75,36,75,0.0,2018-11-21 19:42:52.205293,59.45945945945946
133,Estevan Payan,14,6,0,1,177.8,145 lbs.,182.88,1,"Mar 14, 1982",4.25,42,3.58,57,0.36,100,60,0.4,2018-11-21 19:43:05.793967,70.0
134,Pawel Pawlak,11,2,0,0,182.88,170 lbs.,185.42,1,"Feb 08, 1989",1.67,33,2.22,53,1.0,37,70,0.0,2018-11-21 19:43:10.150111,84.61538461538461
139,Alan Patrick,15,2,0,0,180.34,155 lbs.,187.96,0,"Jul 19, 1983",1.88,43,2.39,45,3.92,40,66,0.4,2018-11-21 19:43:27.605612,88.23529411764706
140,Claude Patrick,14,2,0,0,180.34,170 lbs.,190.5,1,"Jun 14, 1980",1.8,55,0.89,69,2.32,53,84,1.7,2018-11-21 19:43:31.441354,87.5
149,Norman Parke,22,5,1,0,180.34,155 lbs.,177.8,0,"Dec 22, 1986",3.06,35,2.88,64,1.98,26,77,0.0,2018-11-21 19:44:02.595255,78.57142857142857
151,Karo Parisyan,19,8,0,1,177.8,170 lbs.,182.88,1,"Aug 28, 1982",2.49,41,2.19,58,5.27,59,59,1.0,2018-11-21 19:44:10.940113,70.37037037037037
157,Jared Papazian,14,9,0,1,172.72,135 lbs.,170.18,0,"Feb 01, 1988",3.33,39,3.81,44,0.0,0,50,0.0,2018-11-21 19:44:31.46809,60.86956521739131
158,Alexandre Pantoja,20,3,0,0,165.1,125 lbs.,170.18,1,"Apr 16, 1990",4.31,46,3.38,59,0.75,50,60,1.8,2018-11-21 19:44:35.839032,86.95652173913044
162,Rousimar Palhares,24,5,0,0,172.72,170 lbs.,180.34,1,"Feb 26, 1980",1.75,51,2.04,59,3.93,45,0,4.1,2018-11-21 19:44:51.673756,82.75862068965517
163,Soa Palelei,22,5,0,0,193.04,265 lbs.,205.74,1,"Jul 12, 1977",2.47,57,2.68,48,2.2,47,66,0.0,2018-11-21 19:44:55.740248,81.48148148148148
164,Bart Palaszewski,35,17,0,0,175.26,145 lbs.,177.8,1,"May 30, 1983",2.67,32,3.97,57,0.65,31,53,0.5,2018-11-21 19:44:58.365379,67.3076923076923
167,Fredson Paixao,10,4,0,1,167.64,145 lbs.,167.64,1,"May 13, 1979",1.71,54,2.31,62,0.62,11,10,2.2,2018-11-21 19:45:08.150617,71.42857142857143
170,Dustin Pague,11,10,0,0,175.26,135 lbs.,187.96,1,"Aug 05, 1987",1.65,53,2.96,41,1.03,44,55,2.6,2018-11-21 19:45:19.797631,52.38095238095239
172,Damacio Page,12,8,0,0,167.64,135 lbs.,167.64,1,"Sep 30, 1982",2.05,38,2.47,51,2.63,64,23,0.9,2018-11-21 19:45:26.386613,60.0
176,Teemu Packalen,8,2,0,0,185.42,155 lbs.,182.88,1,"May 22, 1987",2.64,57,3.08,47,2.83,27,100,1.9,2018-11-21 19:45:41.056212,80.0
177,Larissa Pacheco,10,2,0,0,170.18,135 lbs.,175.26,1,"Sep 07, 1994",1.21,19,4.14,55,0.0,0,0,0.0,2018-11-21 19:45:44.049029,83.33333333333334
178,Nick Pace,6,3,0,0,170.18,135 lbs.,172.72,1,"Apr 17, 1987",1.48,34,3.14,57,2.52,43,54,0.5,2018-11-21 19:45:47.311861,66.66666666666666
183,Alistair Overeem,43,17,0,1,193.04,265 lbs.,203.2,1,"May 17, 1980",3.53,61,1.93,61,1.39,62,72,1.0,2018-11-21 19:46:04.935559,71.66666666666667
184,Sidney Outlaw,8,4,0,0,172.72,170 lbs.,187.96,1,"Apr 11, 1992",0.13,33,0.8,71,3.0,75,0,3.0,2018-11-21 19:46:07.340226,66.66666666666666
186,Zak Ottow,16,6,0,0,180.34,170 lbs.,182.88,1,"Dec 22, 1986",3.05,39,2.74,56,0.77,30,61,0.5,2018-11-21 19:46:15.368452,72.72727272727273
190,Rachael Ostovich,4,4,0,0,160.02,125 lbs.,157.48,0,"Feb 25, 1991",2.68,39,3.62,63,0.94,100,100,1.9,2018-11-21 19:46:30.408179,50.0
192,Nick Osipczak,5,3,0,0,187.96,170 lbs.,193.04,1,"Dec 30, 1984",2.83,50,3.77,50,1.2,45,71,1.0,2018-11-21 19:46:37.537559,62.5
194,Kenji Osawa,18,10,2,0,170.18,135 lbs.,167.64,1,"Nov 04, 1976",2.34,35,2.14,63,0.91,58,68,0.7,2018-11-21 19:46:45.471126,60.0
195,Dustin Ortiz,19,7,0,0,165.1,125 lbs.,165.1,1,"Dec 25, 1988",2.91,43,2.24,56,3.01,35,54,0.1,2018-11-21 19:46:48.394771,73.07692307692307
197,Tito Ortiz,17,11,1,0,190.5,205 lbs.,187.96,1,"Jan 23, 1975",2.59,46,2.88,60,2.47,35,54,0.6,2018-11-21 19:46:57.584659,58.620689655172406
198,Brian Ortega,14,0,0,1,172.72,145 lbs.,175.26,0,"Feb 21, 1991",3.65,32,5.27,56,0.22,14,58,1.8,2018-11-21 19:47:00.65478,100.0
200,Chibwikem Onyenegecha-Palmer,6,0,0,0,190.5,185 lbs.,193.04,1,"Apr 18, 1994",5.6,55,3.4,52,0.0,0,100,0.0,2018-11-21 19:47:07.792781,100.0
202,Michihiro Omigawa,13,13,1,0,167.64,145 lbs.,172.72,1,"Dec 19, 1975",2.01,39,3.06,64,1.19,36,49,1.5,2018-11-21 19:47:14.508331,48.148148148148145
203,Daniel Omielanczuk,19,8,1,1,182.88,247 lbs.,187.96,0,"Aug 31, 1982",3.09,57,3.29,47,0.56,26,68,0.1,2018-11-21 19:47:17.705562,67.85714285714286
204,Alan Omer,18,5,0,0,177.8,145 lbs.,180.34,1,"Sep 14, 1988",3.49,55,2.21,64,1.69,42,66,0.0,2018-11-21 19:47:22.075521,78.26086956521739
205,Cameron Olson,7,3,0,1,185.42,205 lbs.,190.5,1,"Nov 22, 1989",3.13,47,2.2,57,3.0,42,100,1.0,2018-11-21 19:47:26.324399,70.0
210,Felipe Olivieri,14,5,0,1,175.26,155 lbs.,182.88,1,"Apr 12, 1985",6.68,58,4.6,57,0.0,0,71,0.0,2018-11-21 19:47:43.919807,73.68421052631578
211,Wendell Oliveira,24,9,0,0,177.8,170 lbs.,182.88,1,"Jun 01, 1983",3.77,47,4.4,47,0.0,0,100,0.0,2018-11-21 19:47:46.862708,72.72727272727273
212,Alex Oliveira,19,4,1,2,180.34,170 lbs.,193.04,1,"Feb 21, 1988",3.01,53,2.08,46,3.45,38,57,0.9,2018-11-21 19:47:49.682767,79.16666666666666
213,Ednaldo Oliveira,13,2,1,1,195.58,205 lbs.,200.66,1,"Feb 19, 1984",1.03,22,1.8,52,0.0,0,42,0.0,2018-11-21 19:47:54.915218,81.25
215,Charles Oliveira,24,8,0,1,177.8,155 lbs.,187.96,1,"Oct 17, 1989",3.04,49,3.0,54,2.87,41,60,2.8,2018-11-21 19:48:02.308334,75.0
216,Rafaello Oliveira,15,7,0,0,172.72,155 lbs.,180.34,1,"Jan 26, 1982",2.19,33,3.38,59,2.49,36,11,1.6,2018-11-21 19:48:06.045776,68.18181818181817
217,Michal Oleksiejczuk,12,2,0,1,182.88,205 lbs.,187.96,0,"Feb 22, 1995",5.07,58,3.47,71,2.0,66,0,0.0,2018-11-21 19:48:09.100186,85.71428571428571
218,Aleksei Oleinik,54,11,1,0,187.96,240 lbs.,203.2,1,"Jun 20, 1977",3.06,48,3.28,53,2.99,39,11,2.7,2018-11-21 19:48:13.245718,81.81818181818183
222,Yushin Okami,35,11,0,0,187.96,170 lbs.,190.5,0,"Jul 21, 1981",2.14,39,2.1,62,2.1,46,84,0.5,2018-11-21 19:48:25.146721,76.08695652173914
226,Andy Ogle,9,6,0,0,172.72,145 lbs.,175.26,1,"Feb 16, 1989",2.24,44,2.23,50,1.44,26,58,0.0,2018-11-21 19:48:40.763041,60.0
229,Brendan O'Reilly,6,3,0,1,170.18,170 lbs.,175.26,1,"Jun 24, 1987",1.9,47,2.77,39,2.22,43,36,0.6,2018-11-21 19:49:04.52316,66.66666666666666
230,Volkan Oezdemir,15,3,0,0,187.96,205 lbs.,190.5,1,"Sep 19, 1989",5.69,48,4.84,53,0.4,50,70,0.0,2018-11-21 19:49:04.708674,83.33333333333334
231,Richard Odoms,8,1,0,0,195.58,265 lbs.,208.28,1,"May 08, 1975",0.0,0,0.0,0,0.0,0,0,0.0,2018-11-21 19:49:07.974533,88.88888888888889
235,Sean O'Malley,10,0,0,0,180.34,135 lbs.,182.88,0,"Oct 24, 1994",6.75,56,4.06,66,1.31,50,61,1.3,2018-11-21 19:49:14.668269,100.0
238,Sean O'Connell,17,9,0,0,185.42,205 lbs.,187.96,1,"Sep 02, 1983",5.46,48,6.77,45,0.0,0,30,0.5,2018-11-21 19:49:25.965441,65.38461538461539
240,Jake O'Brien,13,4,0,0,190.5,205 lbs.,193.04,1,"Sep 25, 1984",1.31,31,1.92,69,6.39,54,25,0.2,2018-11-21 19:49:34.72939,76.47058823529412
241,Said Nurmagomedov,12,1,0,0,172.72,125 lbs.,177.8,1,"Apr 05, 1992",4.33,57,2.13,63,1.0,9,100,0.0,2018-11-21 19:49:38.855467,92.3076923076923
242,Khabib Nurmagomedov,27,0,0,0,177.8,155 lbs.,177.8,1,"Sep 20, 1988",4.29,49,1.7,66,5.09,44,84,0.6,2018-11-21 19:49:42.630533,100.0
243,Amanda Nunes,16,4,0,0,172.72,135 lbs.,175.26,1,"May 30, 1988",4.55,51,2.88,56,1.82,40,79,0.6,2018-11-21 19:49:47.844443,80.0
244,Diego Nunes,18,4,0,0,167.64,145 lbs.,170.18,1,"Nov 30, 1982",2.72,43,2.59,58,1.18,44,65,0.6,2018-11-21 19:49:51.093293,81.81818181818183
245,Phillipe Nover,12,8,1,0,175.26,145 lbs.,182.88,1,"Feb 03, 1984",1.79,35,2.48,56,0.99,28,44,0.7,2018-11-21 19:49:55.80713,57.14285714285714
246,Jason Novelli,11,3,1,0,182.88,155 lbs.,190.5,1,"Jun 08, 1979",1.73,24,3.55,66,0.7,33,100,0.0,2018-11-21 19:49:58.855292,73.33333333333333
250,Sage Northcutt,11,2,0,0,182.88,170 lbs.,180.34,1,"Mar 01, 1996",3.58,52,1.96,58,1.81,34,41,0.6,2018-11-21 19:50:16.258362,84.61538461538461
251,KJ Noons,12,8,0,1,177.8,155 lbs.,182.88,1,"Dec 07, 1982",3.68,35,3.78,65,0.08,20,68,0.0,2018-11-21 19:50:20.338211,60.0
253,Kyle Noke,22,10,1,0,185.42,170 lbs.,193.04,0,"Mar 18, 1980",3.23,50,2.09,64,1.53,54,66,0.8,2018-11-21 19:50:27.591156,66.66666666666666
256,Rogerio Nogueira,23,8,0,0,187.96,205 lbs.,190.5,0,"Jun 02, 1976",2.39,34,2.24,60,0.68,44,63,0.8,2018-11-21 19:50:38.666611,74.19354838709677
257,Minotauro Nogueira,34,10,1,1,190.5,240 lbs.,195.58,1,"Jun 02, 1976",1.95,42,2.4,55,1.3,29,36,2.4,2018-11-21 19:50:42.813941,75.55555555555556
262,Anthony Njokuani,16,9,0,1,185.42,155 lbs.,190.5,1,"Mar 01, 1980",3.94,46,2.41,65,0.5,45,53,0.2,2018-11-21 19:51:03.15396,64.0
266,Ning Guangyou,6,4,1,0,162.56,145 lbs.,162.56,0,"Dec 15, 1981",2.66,41,1.91,61,1.09,50,62,0.3,2018-11-21 19:51:18.763115,54.54545454545454
267,Mats Nilsson,11,4,1,0,185.42,170 lbs.,187.96,1,"Dec 05, 1983",2.99,39,5.62,63,3.87,83,44,2.3,2018-11-21 19:51:23.884863,68.75
270,Ramsey Nijem,10,6,0,0,180.34,155 lbs.,190.5,1,"Apr 01, 1988",3.05,44,1.62,62,5.32,62,55,1.1,2018-11-21 19:51:34.966037,62.5
271,Tom Niinimaki,21,8,1,0,175.26,145 lbs.,175.26,1,"Jul 25, 1982",1.91,54,2.31,58,2.97,46,33,0.5,2018-11-21 19:51:38.495488,70.0
274,Matheus Nicolau,13,3,1,0,167.64,125 lbs.,167.64,0,"Jan 06, 1993",3.83,51,2.43,70,1.9,66,100,1.6,2018-11-21 19:51:49.172229,76.47058823529412
276,Alex Nicholson,7,4,0,0,193.04,185 lbs.,205.74,1,"May 02, 1990",4.12,43,4.65,47,0.0,0,50,0.5,2018-11-21 19:51:55.610398,63.63636363636363
277,Ben Nguyen,17,7,0,0,165.1,125 lbs.,165.1,0,"Aug 03, 1988",3.82,41,3.3,54,0.33,33,66,1.3,2018-11-21 19:51:59.852257,70.83333333333334
278,Francis Ngannou,11,3,0,0,193.04,250 lbs.,210.82,1,"Sep 05, 1986",1.79,34,1.95,47,0.0,0,68,0.5,2018-11-21 19:52:03.863679,78.57142857142857
282,Nick Newell,14,1,0,0,177.8,155 lbs.,187.96,0,"Mar 17, 1986",3.53,46,4.07,36,0.0,0,33,0.0,2018-11-21 19:52:20.387401,93.33333333333333
284,Antonio Braga Neto,9,3,0,1,190.5,185 lbs.,195.58,1,"Oct 29, 1987",1.36,33,3.92,45,3.07,37,0,0.5,2018-11-21 19:52:28.862962,75.0
287,Gunnar Nelson,16,3,1,0,180.34,170 lbs.,182.88,0,"Jul 28, 1988",2.01,56,3.7,51,1.64,62,70,1.1,2018-11-21 19:52:41.176846,80.0
